time_increment,realtime,machine[3].lat,machine[3].lng,machine[3].technical_data.engine_revolutions,machine[3].technical_data.fuel_consumption,machine[3].technical_data.vehicle_payload
0,15:02.0,51.39591285,8.262373445,1522.125,7.1,0
1,15:04.0,51.39590622,8.262378115,1522.75,7.2,0
2,15:06.0,51.39590352,8.262402492,1523.25,7.85,0
3,15:08.0,51.39590069,8.262405579,1523.75,7.95,0
4,15:10.0,51.39589511,8.262419461,1524.625,8,0
5,15:12.0,51.39589146,8.262451353,1523.875,8.05,0
6,15:14.0,51.39588701,8.262500092,1523,8.05,0
7,15:16.0,51.3958855,8.262517721,1522.75,8.65,0
8,15:18.0,51.39588716,8.262524422,1522.375,9.8,0
9,15:20.0,51.39589194,8.262527387,1521.75,10.45,0
10,15:22.0,51.39588436,8.262532071,1521.5,11.15,0
11,15:24.0,51.39588353,8.26253894,1521.75,11.85,0
12,15:26.0,51.39588794,8.262560183,1522.75,11.4,0
13,15:28.0,51.39588647,8.262565496,1522.25,10.35,0
14,15:30.0,51.39588268,8.262567078,1521.75,9.8,0
15,15:32.0,51.39588088,8.262570195,1521.75,9.2,0
16,15:34.0,51.39588031,8.262575711,1521.25,9.8,0
17,15:36.0,51.39588285,8.26259445,1521.25,9.8,0
18,15:38.0,51.3958848,8.262602023,1521.25,9.75,0
19,15:40.0,51.39588861,8.262603483,1521.75,10.4,0
20,15:42.0,51.39588868,8.262614127,1521.75,12.1,0
21,15:44.0,51.39588862,8.262628095,1521.25,13.45,0
22,15:46.0,51.3958869,8.262633927,1521,13.6,0
23,15:48.0,51.39588026,8.262637075,1520.5,13.85,0
24,15:50.0,51.39587839,8.262641456,1520,15.25,0
25,15:52.0,51.39587777,8.262648581,1520.875,17.85,0
26,15:54.0,51.39588043,8.262664448,1521.75,19.25,0
27,15:56.0,51.39588524,8.262671974,1522.125,20.8,0
28,15:58.0,51.39588763,8.262686658,1521.75,22.4,0
29,16:00.0,51.39588707,8.26269221,1521.625,23.35,0
30,16:02.0,51.39588538,8.262694785,1521.75,24.3,0
31,16:04.0,51.39588158,8.262694846,1521.125,25.25,0
32,16:06.0,51.39587983,8.262702148,1520.375,24.15,0
33,16:08.0,51.39588168,8.262711573,1520.125,21.3,0
34,16:10.0,51.39588551,8.262714554,1520.875,17.6,0
35,16:12.0,51.39588828,8.262721404,1521.625,15.2,0
36,16:14.0,51.39588943,8.262732155,1522.125,13.6,0
37,16:16.0,51.39588845,8.262741122,1523.25,10.75,0
38,16:18.0,51.3958857,8.262744968,1523.375,8.65,0
39,16:20.0,51.39588284,8.262745014,1523.75,6.6,0
40,16:22.0,51.39588257,8.262747628,1524.125,4.7,0
41,16:24.0,51.39588866,8.262761649,1522.625,3.4,0
42,16:26.0,51.39588596,8.262786026,1522.625,3.3,0
43,16:28.0,51.3958921,8.262822816,1524.625,3.3,0
44,16:30.0,51.39589193,8.262829576,1524.125,3.35,0
45,16:32.0,51.39589007,8.262834627,1522.125,2.85,0
46,16:34.0,51.39588629,8.26283925,1522.75,3.4,0
47,16:36.0,51.39588634,8.262846854,1523,3.95,0
48,16:38.0,51.39588919,8.262846808,1522,5.1,0
49,16:40.0,51.39588928,8.262860494,1520.625,5.65,0
50,16:42.0,51.3958921,8.262855886,1522.125,5.7,0
51,16:44.0,51.39589106,8.262840694,1523.75,5.2,0
52,16:46.0,51.39589304,8.262855157,1521.625,5.75,0
53,16:48.0,51.39589214,8.262861969,1520.125,5.8,0
54,16:50.0,51.39588767,8.262863478,1520.875,6.45,0
55,16:52.0,51.39588453,8.262862091,1520.375,7.15,345
56,16:54.0,51.39588447,8.262852967,1522.125,9.5,345
57,16:56.0,51.3958854,8.26284839,1523.75,12.95,345
58,16:58.0,51.39588479,8.262868077,1518.75,16.5,345
59,17:00.0,51.39588652,8.262875746,1517.625,15.65,345
60,17:02.0,51.39589225,8.262878696,1519,16,345
61,17:04.0,51.39589124,8.262869588,1520.125,16.8,345
62,17:06.0,51.39588743,8.262869649,1519.25,17.6,345
63,17:08.0,51.39588748,8.262877252,1519.25,17.3,786
64,17:10.0,51.39589226,8.262880217,1519.25,17.45,786
65,17:12.0,51.39589252,8.262873904,1519,18.1,786
66,17:14.0,51.39589026,8.262865041,1518.625,19.3,786
67,17:16.0,51.39588559,8.262878803,1517.625,19.35,1025
68,17:18.0,51.39588122,8.262907877,1518.125,20.05,1025
69,17:20.0,51.39588206,8.262916806,1519,19.45,1025
70,17:22.0,51.3958849,8.262921398,1518.875,19.5,1025
71,17:24.0,51.39589157,8.262922812,1518.125,20.7,1025
72,17:26.0,51.39589161,8.262928895,1517.625,22,1025
73,17:28.0,51.39588785,8.262936559,1517.75,22.05,1025
74,17:30.0,51.39588795,8.262951766,1516.625,22.65,1025
75,17:32.0,51.39588414,8.262951827,1516.625,22.7,1025
76,17:34.0,51.39588043,8.262965574,1517.25,23.35,1025
77,17:36.0,51.39587569,8.262968692,1518.625,23.45,1025
78,17:38.0,51.39587581,8.262988461,1518.125,23.5,1025
79,17:40.0,51.39587393,8.262991533,1517.5,22.95,1025
80,17:42.0,51.39587101,8.262980934,1517.5,23.5,1025
81,17:44.0,51.39586916,8.262990089,1517.25,23.6,1025
82,17:46.0,51.39586922,8.262999213,1516.375,23,1025
83,17:48.0,51.39587236,8.263001235,1516.125,23.6,1025
84,17:50.0,51.39587589,8.263000626,1517.125,22.9,1025
85,17:52.0,51.39587581,8.262988461,1517.25,21.5,1727
86,17:54.0,51.39587411,8.263020426,1516.625,18.7,1727
87,17:56.0,51.39587005,8.262979428,1516.625,17.2,1727
88,17:58.0,51.39586909,8.262992325,1516.625,15.75,1727
89,18:00.0,51.39587016,8.262997677,1516.125,13.65,1727
90,18:02.0,51.39587776,8.262996033,1515.75,11.55,1727
91,18:04.0,51.3958759,8.263002147,1516.125,10.1,1727
92,18:06.0,51.39587872,8.262997539,1516.625,8.1,1727
93,18:08.0,51.3958787,8.262992978,1516.625,7.4,2225
94,18:10.0,51.3958749,8.262994559,1516.125,7.1,2225
95,18:12.0,51.39587413,8.26299831,1516.125,7.2,2225
96,18:14.0,51.3958776,8.263013503,1515.875,7.85,2225
97,18:16.0,51.39587695,8.263017338,1515,7.95,2225
98,18:18.0,51.39587219,8.263017415,1514.625,8,2225
99,18:20.0,51.39587796,8.263027968,1514.625,8.05,2225
100,18:22.0,51.395878,8.26303405,1515.25,8.05,2225
101,18:24.0,51.39587326,8.263035648,1515.375,8.65,2710
102,18:26.0,51.39587331,8.263044772,1514.875,9.8,2710
103,18:28.0,51.39587518,8.263038659,1514.625,10.45,2710
104,18:30.0,51.39587617,8.263044726,1514.25,11.15,2710
105,18:32.0,51.39587767,8.263058532,1513.625,11.85,2710
106,18:34.0,51.39587629,8.263064495,1513,11.4,2710
107,18:36.0,51.39587059,8.263066108,1512.875,10.35,2710
108,18:38.0,51.39587065,8.263075231,1513,9.8,2710
109,18:40.0,51.3958773,8.263073604,1513,9.2,2710
110,18:42.0,51.39587914,8.26308072,1512.625,9.8,2710
111,18:44.0,51.39587834,8.263087275,1512.375,9.8,2710
112,18:46.0,51.39587358,8.263087351,1511.75,9.75,2710
113,18:48.0,51.39587161,8.263076737,1511.375,10.4,3225
114,18:50.0,51.39586781,8.263076798,1511.25,12.1,3225
115,18:52.0,51.39586783,8.26308136,1511.375,13.45,3225
116,18:54.0,51.39586789,8.263090485,1511.75,13.6,3225
